,start_station_name,end_station_name,Number of Trips
8679,Clark St & Bryn Mawr Ave,Clark St & Newport St,2
49015,Wells St & Concord Ln,Clinton St & Washington Blvd,2
8686,Clark St & Bryn Mawr Ave,Damen Ave & Leland Ave,2
8688,Clark St & Bryn Mawr Ave,Damen Ave & Sunnyside Ave,2
4491,Buckingham Fountain,Lakefront Trail & Bryn Mawr Ave,2
8693,Clark St & Bryn Mawr Ave,Eastlake Ter & Rogers Ave,2
8698,Clark St & Bryn Mawr Ave,Halsted St & Roscoe St,2
8804,Clark St & Chicago Ave,Green St & Madison St,2
8805,Clark St & Chicago Ave,Green St & Randolph St,2
8806,Clark St & Chicago Ave,Green St & Randolph St*,2
8914,Clark St & Columbia Ave,California Ave & Fletcher St,2
8889,Clark St & Chicago Ave,Theater on the Lake,2
48937,Wells St & 19th St,McCormick Place,2
8892,Clark St & Chicago Ave,Wabash Ave & Cermak Rd,2
4454,Buckingham Fountain,Cornell Ave & Hyde Park Blvd,2
4452,Buckingham Fountain,Clinton St & Tilden St,2
8899,Clark St & Chicago Ave,Wells St & Hubbard St,2
8901,Clark St & Chicago Ave,Wells St & Polk St,2
48935,Wells St & 19th St,Halsted St & 21st St,2
8903,Clark St & Chicago Ave,Western Ave & Division St,2
48934,Wells St & 19th St,Franklin St & Lake St,2
48932,Wells St & 19th St,Federal St & Polk St,2
8908,Clark St & Chicago Ave,Wood St & Augusta Blvd,2
48931,Wells St & 19th St,Emerald Ave & 28th St,2
8920,Clark St & Columbia Ave,Clark St & Lunt Ave,2
8884,Clark St & Chicago Ave,State St & Van Buren St,2
8921,Clark St & Columbia Ave,Clark St & Schreiber Ave,2
8924,Clark St & Columbia Ave,Lakefront Trail & Bryn Mawr Ave,2
48925,Wells St & 19th St,Damen Ave & Cullerton St,2
8928,Clark St & Columbia Ave,Ravenswood Ave & Irving Park Rd,2
48921,Wells St & 19th St,Clinton St & Jackson Blvd,2
8937,Clark St & Columbia Ave,Wilton Ave & Diversey Pkwy,2
8941,Clark St & Drummond Pl,Ashland Ave & Chicago Ave,2
48910,Washtenaw Ave & Superior St,California Ave & Milwaukee Ave,2
48909,Washtenaw Ave & Polk St,Western Ave & Congress Pkwy,2
8955,Clark St & Drummond Pl,Buckingham Fountain,2
48897,Washtenaw Ave & Peterson Ave,Warren Park East,2
8970,Clark St & Drummond Pl,Clark St & Bryn Mawr Ave,2
50905,Western Ave & Grace St,Sheffield Ave & Waveland Ave,2
48938,Wells St & 19th St,Michigan Ave & 18th St,2
8883,Clark St & Chicago Ave,State St & Randolph St,2
8807,Clark St & Chicago Ave,Greenview Ave & Fullerton Ave,2
50900,Western Ave & Grace St,Lincoln Ave & Roscoe St*,2
48967,Wells St & Concord Ln,Ashland Ave & Division St,2
8814,Clark St & Chicago Ave,Kedzie Ave & Chicago Ave,2
8815,Clark St & Chicago Ave,Kedzie Ave & Milwaukee Ave,2
8820,Clark St & Chicago Ave,LaSalle St & Washington St,2
4461,Buckingham Fountain,Delano Ct & Roosevelt Rd,2
8825,Clark St & Chicago Ave,Larrabee St & Menomonee St,2
8827,Clark St & Chicago Ave,Larrabee St & Oak St,2
8829,Clark St & Chicago Ave,Leavitt St & Chicago Ave,2
48963,Wells St & Concord Ln,Ada St & Washington Blvd,2
48962,Wells St & Concord Ln,Aberdeen St & Jackson Blvd,2
8833,Clark St & Chicago Ave,McClurg Ct & Ohio St,2
48961,Wells St & 19th St,Western Ave & Walton St,2
8839,Clark St & Chicago Ave,Mies van der Rohe Way & Chicago Ave,2
