,start_station_name,end_station_name,Number of Trips
1602,Ashland Ave & Division St,California Ave & Milwaukee Ave,7
20996,Franklin St & Monroe St,New St & Illinois St,7
47995,Wabash Ave & Grand Ave,Franklin St & Chicago Ave,7
8407,Clark St & Armitage Ave,Halsted St & Clybourn Ave,7
39254,Ridge Blvd & Howard St,Ridge Blvd & Howard St,7
7564,Chicago Ave & Washington St,Benson Ave & Church St,7
26878,Lakefront Trail & Wilson Ave,DuSable Lake Shore Dr & Monroe St,7
15344,Damen Ave & Wellington Ave,Sheffield Ave & Wellington Ave,7
21913,Greenview Ave & Fullerton Ave,Wilton Ave & Belmont Ave,7
38241,Racine Ave & Belmont Ave,Clark St & Wellington Ave,7
49100,Wells St & Concord Ln,Michigan Ave & Pearson St,7
3890,Broadway & Ridge Ave,Clark St & Berwyn Ave,7
7548,Chicago Ave & Sheridan Rd,Michigan Ave & Oak St,7
25566,Kingsbury St & Kinzie St,Rush St & Hubbard St,7
11603,Clark St & Wrightwood Ave,Ritchie Ct & Banks St,7
45071,State St & Chicago Ave,New St & Illinois St,7
11604,Clark St & Wrightwood Ave,Rush St & Cedar St,7
24019,Humboldt Blvd & Armitage Ave,Spaulding Ave & Armitage Ave,7
13103,Cornell Ave & Hyde Park Blvd,Blackstone Ave & Hyde Park Blvd,7
8431,Clark St & Armitage Ave,Larrabee St & Armitage Ave,7
13366,Daley Center Plaza,Canal St & Adams St,7
51252,Western Ave & Walton St,Leavitt St & North Ave,7
49091,Wells St & Concord Ln,McClurg Ct & Erie St,7
17786,DuSable Lake Shore Dr & North Blvd,Paulina Ave & North Ave,7
39686,Rush St & Cedar St,Michigan Ave & Lake St,7
14840,Damen Ave & Pierce Ave,Michigan Ave & 8th St,7
21030,Franklin St & Monroe St,Wells St & Elm St,7
41551,Sheffield Ave & Waveland Ave,Damen Ave & Leland Ave,7
45104,State St & Chicago Ave,St. Clair St & Erie St,7
39859,Rush St & Hubbard St,Orleans St & Hubbard St,7
11062,Clark St & Schiller St,Southport Ave & Wellington Ave,7
11061,Clark St & Schiller St,Southport Ave & Roscoe St,7
31855,Michigan Ave & 8th St,Wabash Ave & Grand Ave,7
17818,DuSable Lake Shore Dr & North Blvd,Sheridan Rd & Irving Park Rd,7
18604,Ellis Ave & 55th St,DuSable Lake Shore Dr & Monroe St,7
42819,Sheridan Rd & Montrose Ave,Broadway & Wilson - Truman College Vaccination Site,7
29988,Lincoln Park Conservatory,Clark St & Drummond Pl,7
43752,Southport Ave & Roscoe St,Lincoln Ave & Roscoe St*,7
38233,Racine Ave & Belmont Ave,Clark St & Drummond Pl,7
32961,Michigan Ave & Washington St,Clark St & Lincoln Ave,7
30537,MLK Jr Dr & 29th St,State St & 35th St,7
11568,Clark St & Wrightwood Ave,Lincoln Ave & Fullerton Ave,7
30536,MLK Jr Dr & 29th St,State St & 33rd St,7
50557,Wentworth Ave & Cermak Rd,Morgan St & 18th St,7
8393,Clark St & Armitage Ave,Elston Ave & Cortland St,7
17808,DuSable Lake Shore Dr & North Blvd,Seeley Ave & Roscoe St,7
1749,Ashland Ave & Division St,Ritchie Ct & Banks St,7
32956,Michigan Ave & Washington St,Clark St & Chicago Ave,7
33267,Mies van der Rohe Way & Chestnut St,Sheffield Ave & Waveland Ave,7
10764,Clark St & Randolph St,Clinton St & Madison St,7
32587,Michigan Ave & Oak St,Field Museum,7
41137,Shedd Aquarium,Wabash Ave & 16th St,7
48366,Wabash Ave & Wacker Pl,Dearborn St & Van Buren St,7
51393,Western Ave & Winnebago Ave,Leavitt St & Chicago Ave,7
23077,Halsted St & Roscoe St,Lakefront Trail & Wilson Ave,7
36217,Ogden Ave & Race Ave,Damen Ave & Pierce Ave,7
31391,McCormick Place,MLK Jr Dr & 29th St,7
9199,Clark St & Elm St,Damen Ave & Pierce Ave,7
40006,Rush St & Superior St,McClurg Ct & Ohio St,7
41606,Sheffield Ave & Waveland Ave,Lincoln Ave & Belle Plaine Ave,7
2158,Ashland Ave & Wellington Ave,Cannon Dr & Fullerton Ave,7
14043,Damen Ave & Cortland St,Spaulding Ave & Armitage Ave,7
23417,Halsted St & Wrightwood Ave,Morgan St & Lake St,7
6314,Canal St & Adams St,Fairbanks Ct & Grand Ave,7
45596,State St & Randolph St,Clinton St & Lake St,7
6288,Canal St & Adams St,Clinton St & Madison St,7
32475,Michigan Ave & Madison St,Wabash Ave & Adams St,7
9208,Clark St & Elm St,Desplaines St & Kinzie St,7
34367,Montrose Harbor,Clark St & Winnemac Ave,7
16700,Desplaines St & Kinzie St,Orleans St & Merchandise Mart Plaza,7
45597,State St & Randolph St,Clinton St & Madison St,7
9214,Clark St & Elm St,DuSable Lake Shore Dr & Wellington Ave,7
32231,Michigan Ave & Lake St,Harper Ave & 59th St,7
29346,Lincoln Ave & Fullerton Ave,Broadway & Belmont Ave,7
9188,Clark St & Elm St,Clinton St & Lake St,7
9614,Clark St & Ida B Wells Dr,DuSable Lake Shore Dr & Monroe St,7
31370,McCormick Place,DuSable Lake Shore Dr & Monroe St,7
2295,Ashland Ave & Wrightwood Ave,Lincoln Ave & Diversey Pkwy,7
3654,Broadway & Cornelia Ave,Clark St & Berwyn Ave,7
17122,DuSable Lake Shore Dr & Belmont Ave,Lincoln Park Conservatory,7
32221,Michigan Ave & Lake St,Green St & Madison St,7
19877,Financial Pl & Ida B Wells Dr,Franklin St & Lake St,7
1496,Ashland Ave & Chicago Ave,Damen Ave & Chicago Ave,7
1781,Ashland Ave & Division St,Walsh Park,7
10290,Clark St & Montrose Ave,Lincoln Ave & Belle Plaine Ave,7
4405,Broadway & Wilson - Truman College Vaccination Site,Sheffield Ave & Waveland Ave,7
45583,State St & Randolph St,Clark St & Armitage Ave,7
43393,Southport Ave & Clybourn Ave,Burling St & Diversey Pkwy,7
47466,Wabash Ave & 16th St,Michigan Ave & Oak St,7
38797,Racine Ave & Wrightwood Ave,Clark St & Newport St,7
13620,Damen Ave & Charleston St,Morgan St & Lake St,7
47665,Wabash Ave & 9th St,Wabash Ave & Grand Ave,7
32499,Michigan Ave & Oak St,Bissell St & Armitage Ave,7
9181,Clark St & Elm St,Clark St & Randolph St,7
20560,Franklin St & Illinois St,State St & Chicago Ave,7
9619,Clark St & Ida B Wells Dr,Franklin St & Jackson Blvd,7
51646,Wilton Ave & Belmont Ave,Sheffield Ave & Kingsbury St,7
17068,DuSable Lake Shore Dr & Belmont Ave,Clark St & Schiller St,7
46113,Stetson Ave & South Water St,Wells St & Elm St,7
29394,Lincoln Ave & Fullerton Ave,DuSable Lake Shore Dr & Belmont Ave,7
26716,Lake Park Ave & 56th St,Woodlawn Ave & 55th St,7
25824,LaSalle Dr & Huron St,Rush St & Cedar St,7
15814,Dearborn St & Adams St,Sedgwick St & North Ave,7
3129,Broadway & Argyle St,Halsted St & Roscoe St,7
33554,Millennium Park,DuSable Lake Shore Dr & Belmont Ave,7
17032,DuSable Lake Shore Dr & Belmont Ave,Bissell St & Armitage Ave,7
15991,Dearborn St & Erie St,Rush St & Superior St,7
10507,Clark St & Newport St,Sheffield Ave & Waveland Ave,7
34345,Montrose Harbor,Cannon Dr & Fullerton Ave,7
12479,Clinton St & Roosevelt Rd,Halsted St & 18th St,7
47625,Wabash Ave & 9th St,Michigan Ave & Oak St,7
19978,Fort Dearborn Dr & 31st St,Dusable Harbor,7
6213,Campbell Ave & North Ave,Milwaukee Ave & Rockwell St,7
41455,Sheffield Ave & Kingsbury St,Southport Ave & Clybourn Ave,7
48711,Walsh Park,Greenview Ave & Fullerton Ave,7
44510,St. Clair St & Erie St,Dearborn Pkwy & Delaware Pl,7
50089,Wells St & Polk St,Fairbanks Ct & Grand Ave,7
22037,Halsted St & 18th St,Calumet Ave & 18th St,7
6202,Campbell Ave & North Ave,Leavitt St & Division St,7
47480,Wabash Ave & 16th St,Shedd Aquarium,7
50092,Wells St & Polk St,Financial Pl & Ida B Wells Dr,7
12463,Clinton St & Roosevelt Rd,Dearborn St & Van Buren St,7
34352,Montrose Harbor,Clark St & Berwyn Ave,7
43233,Southport Ave & Belmont Ave,Greenview Ave & Fullerton Ave,7
14024,Damen Ave & Cortland St,Racine Ave & Belmont Ave,7
25435,Kingsbury St & Kinzie St,Canal St & Adams St,7
14031,Damen Ave & Cortland St,Sheffield Ave & Kingsbury St,7
37588,Pine Grove Ave & Irving Park Rd,Sheridan Rd & Montrose Ave,7
40014,Rush St & Superior St,Michigan Ave & Pearson St,7
41642,Sheffield Ave & Waveland Ave,Ravenswood Ave & Irving Park Rd,7
38543,Racine Ave & Fullerton Ave,Sheffield Ave & Willow St,7
33544,Millennium Park,Dearborn Pkwy & Delaware Pl,7
639,Ada St & Washington Blvd,Sangamon St & Washington Blvd,7
52635,Wood St & Milwaukee Ave,Noble St & Milwaukee Ave,7
1375,Ashland Ave & Blackhawk St,Greenview Ave & Fullerton Ave,7
42009,Sheffield Ave & Wellington Ave,Wells St & Concord Ln,7
33548,Millennium Park,Dearborn St & Van Buren St,7
48443,Wabash Ave & Wacker Pl,Rush St & Cedar St,7
37582,Pine Grove Ave & Irving Park Rd,Sheffield Ave & Wellington Ave,7
52662,Wood St & Milwaukee Ave,Sheffield Ave & Willow St,7
27492,Larrabee St & Kingsbury St,Clybourn Ave & Division St,7
4123,Broadway & Thorndale Ave,DuSable Lake Shore Dr & Belmont Ave,7
6244,Campbell Ave & North Ave,Western Ave & Winnebago Ave,7
50070,Wells St & Polk St,Clinton St & Roosevelt Rd,7
43657,Southport Ave & Roscoe St,Broadway & Sheridan Rd,7
23083,Halsted St & Roscoe St,Lincoln Ave & Addison St,7
40073,Rush St & Superior St,Wells St & Elm St,7
5669,California Ave & North Ave,Honore St & Division St,7
4419,Broadway & Wilson - Truman College Vaccination Site,Western Ave & Leland Ave,7
19762,Field Museum,Field Blvd & South Water St,7
23707,Honore St & Division St,California Ave & Division St,7
46142,Stockton Dr & Wrightwood Ave,Broadway & Barry Ave,7
3199,Broadway & Barry Ave,Buckingham Fountain,7
36127,Ogden Ave & Congress Pkwy,Aberdeen St & Jackson Blvd,7
49990,Wells St & Huron St,Racine Ave & Fullerton Ave,7
17175,DuSable Lake Shore Dr & Belmont Ave,Southport Ave & Waveland Ave,7
12316,Clinton St & Madison St,May St & Cullerton St,7
6461,Canal St & Harrison St,Delano Ct & Roosevelt Rd,7
52128,Wolcott (Ravenswood) Ave & Montrose Ave,Sheridan Rd & Irving Park Rd,7
33507,Millennium Park,Canal St & Madison St,7
26234,LaSalle St & Jackson Blvd,DuSable Lake Shore Dr & Monroe St,7
27594,Larrabee St & Kingsbury St,Wells St & Huron St,7
12323,Clinton St & Madison St,Michigan Ave & Lake St,7
9104,Clark St & Drummond Pl,Southport Ave & Wrightwood Ave,7
6450,Canal St & Harrison St,Canal St & Taylor St,7
27095,Lakeview Ave & Fullerton Pkwy,Sheffield Ave & Wellington Ave,7
10598,Clark St & North Ave,Dearborn Pkwy & Delaware Pl,7
40448,Sedgwick St & North Ave,Bissell St & Armitage Ave,7
9110,Clark St & Drummond Pl,Stockton Dr & Wrightwood Ave,7
4422,Broadway & Wilson - Truman College Vaccination Site,Winthrop Ave & Lawrence Ave,7
1583,Ashland Ave & Division St,Ashland Ave & Chicago Ave,7
24434,Jefferson St & Monroe St,Streeter Dr & Grand Ave,7
26725,Lakefront Trail & Bryn Mawr Ave,Broadway & Berwyn Ave,7
1308,Ashland Ave & Belle Plaine Ave,Sheffield Ave & Waveland Ave,7
27641,Larrabee St & Menomonee St,Halsted St & Willow St,7
17215,DuSable Lake Shore Dr & Diversey Pkwy,Bissell St & Armitage Ave*,7
3595,Broadway & Berwyn Ave,Pine Grove Ave & Irving Park Rd,7
29261,Lincoln Ave & Diversey Pkwy,Lakeview Ave & Fullerton Pkwy,7
15706,Dearborn Pkwy & Delaware Pl,State St & Randolph St,7
12288,Clinton St & Madison St,Green St & Madison St,7
49966,Wells St & Huron St,Michigan Ave & Washington St,7
803,Adler Planetarium,State St & Randolph St,7
3188,Broadway & Barry Ave,Broadway & Argyle St,7
31298,McClurg Ct & Ohio St,Rush St & Superior St,7
34447,Montrose Harbor,Sheffield Ave & Webster Ave,7
16645,Desplaines St & Kinzie St,Green St & Randolph St*,7
9073,Clark St & Drummond Pl,Pine Grove Ave & Irving Park Rd,7
12294,Clinton St & Madison St,Halsted St & Maxwell St,7
23711,Honore St & Division St,Campbell Ave & North Ave,7
25447,Kingsbury St & Kinzie St,Clark St & Lincoln Ave,7
12303,Clinton St & Madison St,Kingsbury St & Kinzie St,7
25446,Kingsbury St & Kinzie St,Clark St & Lake St,7
3807,Broadway & Granville Ave,Broadway & Ridge Ave,7
31311,McClurg Ct & Ohio St,State St & Kinzie St,7
16014,Dearborn St & Erie St,State St & Pearson St,7
48350,Wabash Ave & Wacker Pl,Clark St & Randolph St,7
25440,Kingsbury St & Kinzie St,Carpenter St & Huron St,7
27557,Larrabee St & Kingsbury St,Orleans St & Chestnut St (NEXT Apts),7
38551,Racine Ave & Fullerton Ave,Southport Ave & Wellington Ave,7
47123,Troy St & North Ave,Milwaukee Ave & Rockwell St,7
43707,Southport Ave & Roscoe St,Damen Ave & Wellington Ave,7
13238,Cottage Grove Ave & 51st St,Blackstone Ave & Hyde Park Blvd,7
12371,Clinton St & Madison St,State St & Randolph St,7
34406,Montrose Harbor,Lakeview Ave & Fullerton Pkwy,7
41286,Sheffield Ave & Fullerton Ave,Sheffield Ave & Webster Ave,7
15756,Dearborn St & Adams St,Dearborn St & Monroe St,7
48357,Wabash Ave & Wacker Pl,Daley Center Plaza,7
37353,Peoria St & Jackson Blvd,Green St & Randolph St*,7
44577,St. Clair St & Erie St,Michigan Ave & Pearson St,7
38547,Racine Ave & Fullerton Ave,Southport Ave & Belmont Ave,7
41913,Sheffield Ave & Wellington Ave,DuSable Lake Shore Dr & Diversey Pkwy,7
51643,Wilton Ave & Belmont Ave,Sedgwick St & Webster Ave,7
50355,Wentworth Ave & 33rd St,Clinton St & 18th St,7
27550,Larrabee St & Kingsbury St,Mies van der Rohe Way & Chestnut St,7
40304,Sedgwick St & Huron St,Canal St & Jackson Blvd,7
13613,Damen Ave & Charleston St,Logan Blvd & Elston Ave,7
1779,Ashland Ave & Division St,Wabash Ave & Grand Ave,7
3245,Broadway & Barry Ave,Dusable Harbor,7
19835,Field Museum,Wood St & Taylor St (Temp),7
6397,Canal St & Adams St,Sangamon St & Washington Blvd,7
50018,Wells St & Huron St,Stetson Ave & South Water St,7
6437,Canal St & Adams St,Wells St & Walton St,7
620,Ada St & Washington Blvd,Morgan St & Lake St*,7
51359,Western Ave & Winnebago Ave,Damen Ave & Walnut (Lake) St,7
52697,Wood St & Milwaukee Ave,Wood St & Augusta Blvd,7
39093,Ravenswood Ave & Lawrence Ave,Marine Dr & Ainslie St,7
10582,Clark St & North Ave,Clark St & Newport St,7
19798,Field Museum,Michigan Ave & Washington St,7
19799,Field Museum,Mies van der Rohe Way & Chestnut St,7
623,Ada St & Washington Blvd,New St & Illinois St,7
10580,Clark St & North Ave,Clark St & Lincoln Ave,7
41280,Sheffield Ave & Fullerton Ave,Sedgwick St & North Ave,7
3135,Broadway & Argyle St,Lakefront Trail & Bryn Mawr Ave,7
6414,Canal St & Adams St,State St & Kinzie St,7
31323,McClurg Ct & Ohio St,Wabash Ave & Wacker Pl,7
37623,Pine Grove Ave & Waveland Ave,Broadway & Waveland Ave,7
39990,Rush St & Superior St,LaSalle St & Illinois St,7
31327,McClurg Ct & Ohio St,Wells St & Elm St,7
46883,Theater on the Lake,Southport Ave & Waveland Ave,7
19833,Field Museum,Wentworth Ave & Cermak Rd,7
37387,Peoria St & Jackson Blvd,Millennium Park,7
12491,Clinton St & Roosevelt Rd,Loomis St & Lexington St,7
31284,McClurg Ct & Ohio St,Orleans St & Merchandise Mart Plaza,7
40335,Sedgwick St & Huron St,Dearborn St & Erie St,7
31542,Michigan Ave & 14th St,Michigan Ave & Washington St,7
37426,Peoria St & Jackson Blvd,State St & Harrison St,7
43958,Southport Ave & Waveland Ave,Ravenswood Ave & Irving Park Rd,7
50207,Wells St & Walton St,Clybourn Ave & Division St,7
40370,Sedgwick St & Huron St,LaSalle St & Illinois St,7
10409,Clark St & Newport St,DuSable Lake Shore Dr & Monroe St,7
29487,Lincoln Ave & Fullerton Ave,Sheffield Ave & Webster Ave,7
33599,Millennium Park,LaSalle St & Jackson Blvd,7
16884,Desplaines St & Randolph St,Wells St & Hubbard St,7
16878,Desplaines St & Randolph St,Wabash Ave & Grand Ave,7
20236,Franklin St & Adams St (Temp),Wacker Dr & Washington St,7
3639,Broadway & Cornelia Ave,Broadway & Sheridan Rd,7
27306,Larrabee St & Armitage Ave,Wells St & Evergreen Ave,7
44394,Spaulding Ave & Division St,Kedzie Ave & Milwaukee Ave,7
50214,Wells St & Walton St,Dearborn St & Erie St,7
4349,Broadway & Wilson - Truman College Vaccination Site,Clark St & Bryn Mawr Ave,7
37486,Pine Grove Ave & Irving Park Rd,Broadway & Ridge Ave,7
27204,Larrabee St & Armitage Ave,Clark St & Wrightwood Ave,7
51751,Wilton Ave & Diversey Pkwy,DuSable Lake Shore Dr & North Blvd,7
36439,Orleans St & Chestnut St (NEXT Apts),Ogden Ave & Chicago Ave,7
38784,Racine Ave & Wrightwood Ave,Broadway & Barry Ave,7
12754,Clinton St & Washington Blvd,Sheffield Ave & Waveland Ave,7
20283,Franklin St & Chicago Ave,Clinton St & Madison St,7
42415,Sheridan Rd & Buena Ave,Streeter Dr & Grand Ave,7
12617,Clinton St & Washington Blvd,Ashland Ave & Division St,7
20204,Franklin St & Adams St (Temp),Orleans St & Hubbard St,7
30186,Logan Blvd & Elston Ave,Kedzie Ave & Palmer Ct,7
12619,Clinton St & Washington Blvd,Ashland Ave & Lake St,7
20206,Franklin St & Adams St (Temp),Peoria St & Jackson Blvd,7
39439,Ritchie Ct & Banks St,Wells St & Hubbard St,7
20212,Franklin St & Adams St (Temp),Shedd Aquarium,7
37506,Pine Grove Ave & Irving Park Rd,Clark St & Leland Ave,7
44418,Spaulding Ave & Division St,Western Ave & Division St,7
9388,Clark St & Elmdale Ave,Clark St & Berwyn Ave,7
43678,Southport Ave & Roscoe St,Clark St & Armitage Ave,7
10339,Clark St & Newport St,Ashland Ave & Wellington Ave,7
10340,Clark St & Newport St,Ashland Ave & Wrightwood Ave,7
16774,Desplaines St & Randolph St,Clinton St & Lake St,7
27337,Larrabee St & Division St,Clark St & Schiller St,7
45736,State St & Randolph St,Wells St & Hubbard St,7
36409,Orleans St & Chestnut St (NEXT Apts),Kingsbury St & Erie St,7
29556,Lincoln Ave & Roscoe St,Clark St & Newport St,7
32344,Michigan Ave & Madison St,Canal St & Monroe St,7
9393,Clark St & Elmdale Ave,Clark St & Lunt Ave,7
22059,Halsted St & 18th St,Halsted St & 18th St,7
13813,Damen Ave & Clybourn Ave,Clark St & Drummond Pl,7
45614,State St & Randolph St,Desplaines St & Kinzie St,7
37448,Peoria St & Jackson Blvd,Wells St & Polk St,7
5888,Calumet Ave & 21st St,Michigan Ave & 14th St,7
5886,Calumet Ave & 21st St,McClurg Ct & Ohio St,7
31600,Michigan Ave & 18th St,Calumet Ave & 21st St,7
29529,Lincoln Ave & Peterson Ave,Lincoln Ave & Peterson Ave,7
16822,Desplaines St & Randolph St,Kingsbury St & Kinzie St,7
41403,Sheffield Ave & Kingsbury St,Lakeview Ave & Fullerton Pkwy,7
32305,Michigan Ave & Lake St,Theater on the Lake,7
20392,Franklin St & Chicago Ave,Southport Ave & Clybourn Ave,7
34213,Milwaukee Ave & Wabansia Ave,Milwaukee Ave & Rockwell St,7
50271,Wells St & Walton St,Orleans St & Merchandise Mart Plaza,7
9471,Clark St & Grace St,Clark St & Lincoln Ave,7
48421,Wabash Ave & Wacker Pl,Michigan Ave & Madison St,7
13752,Damen Ave & Chicago Ave,Morgan St & Lake St*,7
32300,Michigan Ave & Lake St,State St & Randolph St,7
48422,Wabash Ave & Wacker Pl,Michigan Ave & Oak St,7
47511,Wabash Ave & 87th St,Dauphin Ave & 87th St,7
29535,Lincoln Ave & Roscoe St,Ashland Ave & Wellington Ave,7
42999,Shore Dr & 55th St,Blackstone Ave & Hyde Park Blvd,7
16806,Desplaines St & Randolph St,Franklin St & Chicago Ave,7
47513,Wabash Ave & 87th St,Ellis Ave & 83rd St,7
20338,Franklin St & Chicago Ave,Larrabee St & North Ave,7
16836,Desplaines St & Randolph St,Michigan Ave & Lake St,7
12664,Clinton St & Washington Blvd,Dearborn Pkwy & Delaware Pl,7
39422,Ritchie Ct & Banks St,State St & Chicago Ave,7
20288,Franklin St & Chicago Ave,Damen Ave & Chicago Ave,7
21343,Green St & Madison St,Wood St & Milwaukee Ave,7
42674,Sheridan Rd & Lawrence Ave,Broadway & Waveland Ave,7
20412,Franklin St & Chicago Ave,Wells St & Hubbard St,7
16862,Desplaines St & Randolph St,Rush St & Superior St,7
27217,Larrabee St & Armitage Ave,DuSable Lake Shore Dr & Diversey Pkwy,7
20306,Franklin St & Chicago Ave,Eckhart Park,7
43966,Southport Ave & Waveland Ave,Sedgwick St & Webster Ave,7
45703,State St & Randolph St,Rush St & Cedar St,7
37432,Peoria St & Jackson Blvd,Throop St & Taylor St,7
4166,Broadway & Thorndale Ave,Winchester (Ravenswood) Ave & Balmoral Ave,7
45705,State St & Randolph St,Rush St & Superior St,7
29507,Lincoln Ave & Fullerton Ave,Stockton Dr & Wrightwood Ave,7
31570,Michigan Ave & 14th St,State St & Randolph St,7
43108,Smith Park,Smith Park,7
10379,Clark St & Newport St,Clark St & North Ave,7
36472,Orleans St & Chestnut St (NEXT Apts),Wells St & Evergreen Ave,7
10377,Clark St & Newport St,Clark St & Montrose Ave,7
3216,Broadway & Barry Ave,Clark St & Elm St,7
32316,Michigan Ave & Lake St,Wells St & Concord Ln,7
29470,Lincoln Ave & Fullerton Ave,Racine Ave & Fullerton Ave,7
16914,Dodge Ave & Mulford St,Dodge Ave & Mulford St,7
44312,Spaulding Ave & Armitage Ave,Damen Ave & Cortland St,7
13955,Damen Ave & Cortland St,Damen Ave & Wellington Ave,7
44491,St. Clair St & Erie St,Clark St & Lincoln Ave,7
32429,Michigan Ave & Madison St,Michigan Ave & Oak St,7
12524,Clinton St & Roosevelt Rd,State St & Harrison St,7
51662,Wilton Ave & Belmont Ave,Southport Ave & Irving Park Rd,7
46100,Stetson Ave & South Water St,State St & Randolph St,7
40024,Rush St & Superior St,New St & Illinois St,7
9295,Clark St & Elm St,Ogden Ave & Chicago Ave,7
27450,Larrabee St & Division St,Wells St & Huron St,7
41442,Sheffield Ave & Kingsbury St,Sedgwick St & North Ave,7
13651,Damen Ave & Charleston St,Western Ave & Winnebago Ave,7
32253,Michigan Ave & Lake St,McCormick Place,7
3091,Broadway & Argyle St,Broadway & Thorndale Ave,7
9302,Clark St & Elm St,Pine Grove Ave & Waveland Ave,7
10476,Clark St & Newport St,Milwaukee Ave & Grand Ave,7
24313,Indiana Ave & Roosevelt Rd,Throop St & Taylor St,7
52627,Wood St & Milwaukee Ave,Milwaukee Ave & Grand Ave,7
48434,Wabash Ave & Wacker Pl,New St & Illinois St,7
41793,Sheffield Ave & Webster Ave,Lincoln Park Conservatory,7
52443,Wood St & Hubbard St,Carpenter St & Huron St,7
33573,Millennium Park,Franklin St & Chicago Ave,7
16734,Desplaines St & Kinzie St,Wells St & Elm St,7
22092,Halsted St & 18th St,Racine Ave & 18th St,7
38789,Racine Ave & Wrightwood Ave,Burling St & Diversey Pkwy,7
9274,Clark St & Elm St,McClurg Ct & Erie St,7
42695,Sheridan Rd & Lawrence Ave,DuSable Lake Shore Dr & North Blvd,7
45618,State St & Randolph St,DuSable Lake Shore Dr & Monroe St,7
13644,Damen Ave & Charleston St,Southport Ave & Waveland Ave,7
4325,Broadway & Wilson - Truman College Vaccination Site,Broadway & Argyle St,7
20026,Fort Dearborn Dr & 31st St,Rhodes Ave & 32nd St,7
36624,Orleans St & Hubbard St,Franklin St & Illinois St,7
9271,Clark St & Elm St,Lincoln Park Conservatory,7
39376,Ritchie Ct & Banks St,Lincoln Park Conservatory,7
42645,Sheridan Rd & Irving Park Rd,Southport Ave & Wellington Ave,7
34332,Montrose Harbor,Broadway & Berwyn Ave,7
13967,Damen Ave & Cortland St,Elston Ave & Cortland St,7
13987,Damen Ave & Cortland St,Lakeview Ave & Fullerton Pkwy,7
52148,Wolcott Ave & Fargo Ave,Paulina St & Howard St,7
320,Aberdeen St & Monroe St,Green St & Madison St,7
41445,Sheffield Ave & Kingsbury St,Sheffield Ave & Fullerton Ave,7
10495,Clark St & Newport St,Ravenswood Ave & Irving Park Rd,7
10494,Clark St & Newport St,Ravenswood Ave & Berteau Ave,7
10492,Clark St & Newport St,Racine Ave & Fullerton Ave,7
6163,Campbell Ave & North Ave,Central Park Ave & Bloomingdale Ave,7
41608,Sheffield Ave & Waveland Ave,Lincoln Ave & Diversey Pkwy,7
13938,Damen Ave & Cortland St,Clifton Ave & Armitage Ave,7
24741,Kedzie Ave & Milwaukee Ave,California Ave & Francis Pl (Temp),7
52680,Wood St & Milwaukee Ave,Theater on the Lake,7
37410,Peoria St & Jackson Blvd,Racine Ave & 18th St,7
3095,Broadway & Argyle St,Clarendon Ave & Gordon Ter,7
31490,Michigan Ave & 14th St,Dearborn St & Erie St,7
31491,Michigan Ave & 14th St,Dearborn St & Monroe St,7
13904,Damen Ave & Cortland St,Bissell St & Armitage Ave,7
31493,Michigan Ave & 14th St,Delano Ct & Roosevelt Rd,7
48430,Wabash Ave & Wacker Pl,Morgan St & Lake St,7
10447,Clark St & Newport St,Larrabee St & Armitage Ave,7
9356,Clark St & Elm St,Wabash Ave & Roosevelt Rd,7
9357,Clark St & Elm St,Wabash Ave & Wacker Pl,7
6052,Campbell Ave & Fullerton Ave,Elston Ave & Wabansia Ave,7
43538,Southport Ave & Irving Park Rd,Broadway & Cornelia Ave,7
33633,Millennium Park,Milwaukee Ave & Grand Ave,7
815,Adler Planetarium,Wabash Ave & Wacker Pl,7
45674,State St & Randolph St,Michigan Ave & Madison St,7
1359,Ashland Ave & Blackhawk St,Damen Ave & Cortland St,7
9545,Clark St & Grace St,Racine Ave & Fullerton Ave,7
48390,Wabash Ave & Wacker Pl,Green St & Madison St,7
21303,Green St & Madison St,State St & Kinzie St,7
9371,Clark St & Elm St,Wilton Ave & Diversey Pkwy,7
9543,Clark St & Grace St,Pine Grove Ave & Waveland Ave,7
24794,Kedzie Ave & Milwaukee Ave,Kedzie Ave & Palmer Ct,7
42430,Sheridan Rd & Columbia Ave,Broadway & Thorndale Ave,7
47093,Troy St & North Ave,California Ave & Milwaukee Ave,7
34161,Milwaukee Ave & Wabansia Ave,Damen Ave & Chicago Ave,7
43660,Southport Ave & Roscoe St,Burling St & Diversey Pkwy,7
40403,Sedgwick St & Huron St,Rush St & Cedar St,7
9569,Clark St & Grace St,Southport Ave & Roscoe St,7
10464,Clark St & Newport St,Lincoln Ave & Waveland Ave,7
29582,Lincoln Ave & Roscoe St,Lincoln Ave & Roscoe St,7
16971,Drake Ave & Addison St,Kedzie Ave & Milwaukee Ave,7
20479,Franklin St & Illinois St,Franklin St & Chicago Ave,7
16968,Drake Ave & Addison St,Drake Ave & Addison St,7
26099,LaSalle St & Illinois St,Lincoln Park Conservatory,7
47585,Wabash Ave & 9th St,Franklin St & Jackson Blvd,7
10461,Clark St & Newport St,Lincoln Ave & Roscoe St,7
20473,Franklin St & Illinois St,DuSable Lake Shore Dr & North Blvd,7
33637,Millennium Park,Morgan St & Lake St*,7
26653,Lake Park Ave & 53rd St,Woodlawn Ave & 55th St,7
37525,Pine Grove Ave & Irving Park Rd,DuSable Lake Shore Dr & Diversey Pkwy,7
